13,12,0,1,2,3,4,5,6,7,8,9,,,,,
Name,OLR001,A Resist,A Tolerence,A Fill Lo,A Fill Hi,A Drain Lo,A Drain Hi,B Fill Lo,B Fill Hi,B Drain Lo,B Drain Hi,,,,,
Step Levels,0.05,100,2,7.910,8.010,7.550,7.650,7.685,7.785,7.325,7.425,11.000,7.910-8.010,7.550-7.650,7.685-7.785,7.325-7.425
Tolerence,0.01,200,3,7.460,7.560,7.100,7.200,7.235,7.335,6.875,6.975,10.000,7.460-7.560,7.100-7.200,7.235-7.335,6.875-6.975
Sample Rate,0.05,300,4,7.010,7.110,6.650,6.750,6.785,6.885,6.425,6.525,9.000,7.010-7.110,6.650-6.750,6.785-6.885,6.425-6.525
Resistor,100,400,5,6.560,6.660,6.200,6.300,6.335,6.435,5.975,6.075,8.000,6.560-6.660,6.200-6.300,6.335-6.435,5.975-6.075
M Level cal,1,500,6,6.110,6.210,5.750,5.850,5.885,5.985,5.525,5.625,7.000,6.110-6.210,5.750-5.850,5.885-5.985,5.525-5.625
B Level cal,0,600,7,5.660,5.760,5.300,5.400,5.435,5.535,5.075,5.175,6.000,5.660-5.760,5.300-5.400,5.435-5.535,5.075-5.175
Max Fill Rate,0.025,700,8,5.210,5.310,4.850,4.950,4.985,5.085,4.625,4.725,5.000,5.210-5.310,4.850-4.950,4.985-5.085,4.625-4.725
Max Gal,10,800,9,4.760,4.860,4.400,4.500,4.535,4.635,4.175,4.275,4.000,4.760-4.860,4.400-4.500,4.535-4.635,4.175-4.275
Max Inches,10,900,10,4.310,4.410,3.950,4.050,4.085,4.185,3.725,3.825,3.000,4.310-4.410,3.950-4.050,4.085-4.185,3.725-3.825
Rows,12,1000,11,3.860,3.960,3.500,3.600,3.635,3.735,3.275,3.375,2.000,3.860-3.960,3.500-3.600,3.635-3.735,3.275-3.375
Cols,18,1100,12,3.410,3.510,3.050,3.150,3.185,3.285,2.825,2.925,1.000,3.410-3.510,3.050-3.150,3.185-3.285,2.825-2.925
